user_id,duration_text,condition_text,threshold_text,trial,block_id,block_trial_id,gaze_entropy_limit,center_distance,gaze_entropy_limit_norm,center_distance_norm
13,long,with distraction,filtered,10,4,114,-0.0,0.4320187206257609,-0.8637204181268637,1.015278854376091
13,long,with distraction,filtered,10,5,115,0.06,0.3203405188284234,-0.4536393320218848,0.1995435286389842
13,long,with distraction,filtered,10,6,116,-0.0,0.5068126376017674,-0.8637204181268637,1.561598899341494
13,long,with distraction,filtered,10,7,117,0.05,0.2518386375583813,-0.5219861797060479,-0.3008173612401954
13,long,with distraction,filtered,10,8,118,-0.0,0.4776344267333658,-0.8637204181268637,1.3484713868627873
13,long,with distraction,filtered,10,9,119,-0.0,0.5025258614913846,-0.8637204181268637,1.530286837985859
13,long,with distraction,filtered,10,10,120,-0.0,0.4475492635029671,-0.8637204181268637,1.1287191878424372
13,long,with distraction,filtered,10,11,121,-0.0,0.4191078080116709,-0.8637204181268637,0.9209731856124566
13,long,with distraction,filtered,10,12,122,0.06,0.33402004017214687,-0.4536393320218848,0.2994633753025253
13,long,no distraction,none,1,0,0,0.37,0.2791205232524756,1.665112946187173,-0.10154124866649629
13,long,no distraction,none,1,1,1,0.25,0.33739689200665096,0.8449507739772152,0.32412904225321587
13,long,no distraction,none,1,2,2,0.33,0.31654019699037844,1.3917255554505206,0.17178469367771645
13,long,no distraction,none,1,3,3,-0.0,0.20119928655336977,-0.8637204181268637,-0.6707042937156213
13,long,no distraction,none,1,4,4,0.3,0.30092814663470224,1.1866850123980308,0.05774900204451488
13,long,no distraction,none,1,5,5,0.29,0.5371178344290951,1.1183381647138677,1.782958298110544
13,long,no distraction,none,1,6,6,0.34,0.4944285720703214,1.4600724031346837,1.4711414997087877
13,long,no distraction,none,1,7,7,0.25,0.408955299891436,0.8449507739772152,0.8468158354293172
13,long,no distraction,none,1,8,8,0.2,0.3810363576034836,0.5032165355563994,0.6428864462112927
