user_id,duration_text,condition_text,threshold_text,trial,accuracy,resptime,gaze_entropy_raw,gaze_entropy_limit,q1,q2,q3,q4,q5,q6,center_distance,resptime_norm,gaze_entropy_raw_norm,gaze_entropy_limit_norm,q1_norm,q2_norm,q3_norm,q4_norm,q5_norm,q6_norm,center_distance_norm
10,short,no distraction,none,2.0,1.0,0.482525110244751,0.07,0.07,6.0,6.0,1.0,1.0,1.0,1.0,0.14086649636924092,-1.5869037716378274,-0.6675182278803812,-0.6675182278803812,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-0.9573665931772259
10,short,no distraction,none,3.0,1.0,0.5734069347381592,-0.0,-0.0,6.0,6.0,1.0,1.0,1.0,1.0,0.1460425206714779,-1.086542758724398,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-0.8420617175004141
10,short,no distraction,none,4.0,1.0,0.4889700412750244,-0.0,-0.0,6.0,6.0,1.0,1.0,1.0,1.0,0.11583678594882207,-1.5514204146911508,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-1.5149465966184188
10,short,no distraction,none,5.0,1.0,0.6657779216766357,0.03,0.03,6.0,6.0,1.0,1.0,1.0,1.0,0.1398646991719053,-0.5779829796268559,-0.9988411439085996,-0.9988411439085996,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-0.9796833549517485
10,short,no distraction,none,6.0,1.0,0.4894888401031494,-0.0,-0.0,6.0,6.0,1.0,1.0,1.0,1.0,0.1293331619155172,-1.5485641042177871,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-1.2142915258424314
10,short,no distraction,none,7.0,1.0,0.4406359195709228,0.05,0.05,6.0,6.0,1.0,1.0,1.0,1.0,0.14516223898728553,-1.8175298400790554,-0.8331796858944903,-0.8331796858944903,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-0.8616715114715341
10,short,no distraction,none,8.0,1.0,0.5178990364074707,0.06,0.06,6.0,6.0,1.0,1.0,1.0,1.0,0.13531806911097233,-1.3921482897341042,-0.7503489568874359,-0.7503489568874359,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-1.0809673875050272
10,short,no distraction,none,9.0,1.0,0.5427472591400146,0.02,0.02,6.0,6.0,1.0,1.0,1.0,1.0,0.12515029361021862,-1.2553433569011814,-1.0816718729156543,-1.0816718729156543,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-1.3074721373991594
10,short,no distraction,none,10.0,1.0,0.5741438865661621,-0.0,-0.0,6.0,6.0,1.0,1.0,1.0,1.0,0.11736782645153403,-1.0824853801981262,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,-1.4808400266888553
10,short,no distraction,static,1.0,1.0,0.6347370147705078,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.15574578502870215,-0.7488824934501964,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.6259047551218875
10,short,no distraction,static,2.0,1.0,0.6377170085906982,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.1491001754732945,-0.7324757725832052,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.7739471789667184
10,short,no distraction,static,3.0,1.0,0.5664129257202148,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0883525170027281,-1.1250491317648965,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-2.127206128036733
10,short,no distraction,static,4.0,1.0,0.5739052295684814,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.09723619788288544,-1.083799335521581,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-1.929306802294326
10,short,no distraction,static,5.0,1.0,0.5812418460845947,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.15417451182153605,-1.0434066949488106,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.6609075779889076
10,short,no distraction,static,6.0,1.0,0.6508893966674805,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.16847111639073373,-0.6599535771131353,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.34242603381620373
10,short,no distraction,static,7.0,1.0,0.6257038116455078,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.13894409329354043,-0.798615899339353,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-1.0001914399517218
10,short,no distraction,static,8.0,1.0,0.604809045791626,0.27,0.27,6.0,6.0,2.0,2.0,2.0,2.0,0.18317230926620387,-0.9136545912396852,0.9890963522607107,0.9890963522607107,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.014931586760706822
10,short,no distraction,static,9.0,1.0,0.5573906898498535,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.15202245289452282,-1.1747221560907375,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.7088484052607561
10,short,no distraction,static,10.0,1.0,0.6854579448699951,-0.0,-0.0,6.0,6.0,2.0,2.0,2.0,2.0,0.17372770959273587,-0.469632202185066,-1.2473333309297634,-1.2473333309297634,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.22532634682700614
10,short,no distraction,filtered,1.0,1.0,0.5870020389556885,0.06,0.06,6.0,6.0,2.0,2.0,2.0,2.0,0.17908201280715794,-1.0116932477813163,-0.7503489568874359,-0.7503489568874359,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.1060500006537336
10,short,no distraction,filtered,2.0,1.0,0.5626871585845947,0.05,0.05,6.0,6.0,2.0,2.0,2.0,2.0,0.15986582552324,-1.145561798937348,-0.8331796858944903,-0.8331796858944903,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.5341237414970473
10,short,no distraction,filtered,3.0,1.0,0.567817211151123,0.07,0.07,6.0,6.0,2.0,2.0,2.0,2.0,0.13614808341881565,-1.117317666375139,-0.6675182278803812,-0.6675182278803812,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-1.0624773861086876
10,short,no distraction,filtered,4.0,1.0,0.5861871242523193,0.1,0.1,6.0,6.0,2.0,2.0,2.0,2.0,0.19690315606387576,-1.016179860464201,-0.4190260408592174,-0.4190260408592174,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,0.2909467264957942
10,short,no distraction,filtered,5.0,1.0,0.6187920570373535,0.23,0.23,6.0,6.0,2.0,2.0,2.0,2.0,0.18344511590908216,-0.8366694106549845,0.6577734362324923,0.6577734362324923,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.008854347898575664
10,short,no distraction,filtered,6.0,1.0,0.4337620735168457,0.18,0.18,6.0,6.0,2.0,2.0,2.0,2.0,0.19850927305100263,-1.8553746412084435,0.24361979119721922,0.24361979119721922,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,0.32672575470534915
10,short,no distraction,filtered,7.0,1.0,0.6995689868927002,0.35,0.35,6.0,6.0,2.0,2.0,2.0,2.0,0.25167901888808314,-0.3919421324807898,1.6517421843171471,1.6517421843171471,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,1.511173619616388
10,short,no distraction,filtered,8.0,1.0,0.6843008995056152,0.36,0.36,6.0,6.0,2.0,2.0,2.0,2.0,0.3039600860405273,-0.4760024571148611,1.7345729133242018,1.7345729133242018,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,2.6758246328773416
10,short,no distraction,filtered,9.0,1.0,0.4781019687652588,0.03,0.03,6.0,6.0,2.0,2.0,2.0,2.0,0.18362632302605733,-1.6112559186515423,-0.9988411439085996,-0.9988411439085996,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.004817646586036378
10,short,no distraction,filtered,10.0,1.0,0.5565166473388672,0.16,0.16,6.0,6.0,2.0,2.0,2.0,2.0,0.19519906075252677,-1.179534304158454,0.07795833318311012,0.07795833318311012,0.5258758927213284,0.4221585268381751,-0.007775570213191161,0.07283212659292017,0.07283212659292017,0.07283212659292017,0.25298506199363685
10,long,with distraction,none,1.0,1.0,0.9501161575317384,0.16,0.16,5.0,6.0,1.0,1.0,1.0,1.0,0.20800709961632885,0.9874759941066203,0.07795833318311012,0.07795833318311012,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.5383062356628201
10,long,with distraction,none,2.0,1.0,0.9367098808288574,0.29,0.29,5.0,6.0,1.0,1.0,1.0,1.0,0.26276478926737745,0.9136660961667108,1.1547578102748195,1.1547578102748195,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.758128289982557
10,long,with distraction,none,3.0,1.0,0.8017590045928955,0.3,0.3,5.0,6.0,1.0,1.0,1.0,1.0,0.25036327197374963,0.17067752278173923,1.2375885392818742,1.2375885392818742,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.4818630859865893
10,long,with distraction,none,4.0,1.0,0.950958013534546,0.22,0.22,5.0,6.0,1.0,1.0,1.0,1.0,0.22337418105855486,0.9921109354124326,0.5749427072254376,0.5749427072254376,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.8806344999342085
10,long,with distraction,none,5.0,1.0,0.7172439098358154,0.21,0.21,5.0,6.0,1.0,1.0,1.0,1.0,0.2412358745735621,-0.29463067998430736,0.492111978218383,0.492111978218383,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.2785345540810038
10,long,with distraction,none,6.0,1.0,0.9123940467834472,0.27,0.27,5.0,6.0,1.0,1.0,1.0,1.0,0.23362363625459012,0.7797922944399552,0.9890963522607107,0.9890963522607107,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.1089588060282005
10,long,with distraction,none,7.0,1.0,0.8521959781646729,0.26,0.26,5.0,6.0,1.0,1.0,1.0,1.0,0.2311131219007727,0.44836445661406815,0.906265623253656,0.906265623253656,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.053032765393758
10,long,with distraction,none,8.0,1.0,1.0717549324035645,0.21,0.21,5.0,6.0,1.0,1.0,1.0,1.0,0.2297556144991497,1.6571731634105882,0.492111978218383,0.492111978218383,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.0227919448267357
10,long,with distraction,none,9.0,1.0,1.085165023803711,0.24,0.24,5.0,6.0,1.0,1.0,1.0,1.0,0.23120853336352037,1.7310040636333894,0.7406041652395468,0.7406041652395468,-1.0787197799411878,0.4221585268381751,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.0551582204163525
