user_id,duration_text,condition_text,threshold_text,accuracy,resptime,missnumber,gaze_entropy_raw,gaze_entropy_limit,q1,q2,q3,q4,q5,q6
8,short,with distraction,filtered,1.0,1.0009438461727567,1,0.3,0.3,6.0,6.0,3.0,5.0,4.0,1.0
8,short,no distraction,none,1.0,0.7596720457077026,0,0.23,0.23,4.0,4.0,1.0,1.0,1.0,1.0
8,short,no distraction,static,1.0,0.7459091901779175,0,0.17,0.17,5.0,5.0,3.0,5.0,4.0,1.0
8,short,no distraction,filtered,1.0,0.6862548589706421,0,0.27,0.27,6.0,5.0,2.0,5.0,3.0,2.0
8,long,with distraction,none,0.6,1.0455174922943116,0,0.21,0.21,4.0,4.0,1.0,1.0,1.0,1.0
8,long,with distraction,static,1.0,1.0019283592700958,2,0.1,0.1,4.0,4.0,2.0,6.0,6.0,2.0
8,long,with distraction,filtered,1.0,1.0768879254659016,1,0.11,0.11,5.0,5.0,3.0,4.0,3.0,2.0
8,long,no distraction,none,1.0,0.8634138902028402,1,0.18,0.18,4.0,4.0,1.0,1.0,1.0,1.0
8,long,no distraction,static,1.0,0.7646056413650513,0,0.34,0.34,5.0,5.0,1.0,7.0,7.0,2.0
8,long,no distraction,filtered,1.0,0.744122052192688,0,0.12,0.12,3.0,3.0,2.0,5.0,5.0,2.0
9,short,with distraction,none,0.8888888888888888,1.0178840425279405,1,0.28,0.28,4.0,4.0,1.0,1.0,1.0,1.0
9,short,with distraction,static,1.0,0.9274670600891113,0,0.15,0.15,6.0,6.0,1.0,1.0,1.0,1.0
9,short,with distraction,filtered,1.0,0.8502539157867431,0,0.29,0.29,4.0,4.0,1.0,1.0,1.0,1.0
9,short,no distraction,none,1.0,0.664271330833435,0,0.36,0.36,4.0,4.0,1.0,1.0,1.0,1.0
9,short,no distraction,static,1.0,0.743354320526123,0,0.36,0.36,5.0,4.0,1.0,4.0,4.0,2.0
9,short,no distraction,filtered,1.0,0.7728299617767334,0,0.34,0.34,4.0,4.0,1.0,1.0,1.0,1.0
9,long,with distraction,none,1.0,1.026489469740126,1,0.31,0.31,4.0,4.0,1.0,1.0,1.0,1.0
9,long,with distraction,static,0.9,1.0532840013504028,0,0.37,0.37,5.0,3.0,2.0,2.0,1.0,1.0
9,long,with distraction,filtered,1.0,1.102414220571518,2,0.2,0.2,5.0,4.0,1.0,3.0,1.0,2.0
9,long,no distraction,none,1.0,0.7703656673431396,0,0.18,0.18,4.0,4.0,1.0,1.0,1.0,1.0
9,long,no distraction,static,1.0,0.7957197189331054,0,0.37,0.37,5.0,4.0,1.0,4.0,1.0,3.0
9,long,no distraction,filtered,1.0,0.7495350307888455,1,0.33,0.33,4.0,4.0,1.0,1.0,1.0,1.0
10,short,with distraction,none,1.0,0.8836818218231202,0,0.18,0.18,6.0,6.0,1.0,1.0,1.0,1.0
10,short,with distraction,static,1.0,0.8152926921844482,0,0.37,0.37,6.0,6.0,2.0,2.0,2.0,2.0
10,short,with distraction,filtered,1.0,0.8281010866165162,0,0.29,0.29,6.0,6.0,2.0,2.0,2.0,2.0
10,short,no distraction,none,1.0,0.5348828077316284,0,0.35,0.35,6.0,6.0,1.0,1.0,1.0,1.0
10,short,no distraction,static,1.0,0.611826491355896,0,0.35,0.35,6.0,6.0,2.0,2.0,2.0,2.0
10,short,no distraction,filtered,1.0,0.5774736166000366,0,0.3,0.3,6.0,6.0,2.0,2.0,2.0,2.0
10,long,with distraction,none,1.0,0.9198107719421387,1,0.28,0.28,5.0,6.0,1.0,1.0,1.0,1.0
10,long,with distraction,static,1.0,0.9471400022506714,0,0.35,0.35,5.0,5.0,2.0,2.0,2.0,2.0
10,long,with distraction,filtered,1.0,0.9369807243347168,0,0.24,0.24,6.0,6.0,5.0,5.0,5.0,5.0
10,long,no distraction,none,1.0,0.7989681005477905,0,0.3,0.3,4.0,4.0,1.0,1.0,1.0,1.0
10,long,no distraction,static,1.0,0.713866114616394,0,0.37,0.37,6.0,6.0,3.0,2.0,2.0,2.0
10,long,no distraction,filtered,1.0,0.695982027053833,0,0.22,0.22,6.0,6.0,2.0,2.0,2.0,2.0
11,short,with distraction,none,0.9,0.8815292596817017,0,0.32,0.32,4.0,4.0,1.0,1.0,1.0,1.0
11,short,with distraction,static,1.0,0.9070653915405273,0,0.35,0.35,3.0,3.0,2.0,2.0,2.0,1.0
11,short,with distraction,filtered,1.0,0.9274098634719848,0,0.24,0.24,5.0,5.0,2.0,2.0,2.0,2.0
11,short,no distraction,none,1.0,0.7140442848205566,0,0.22,0.22,4.0,4.0,1.0,1.0,1.0,1.0
11,short,no distraction,static,1.0,0.8485778331756592,0,0.35,0.35,5.0,5.0,4.0,2.0,3.0,2.0
11,short,no distraction,filtered,1.0,0.6802083253860474,0,0.33,0.33,4.0,4.0,2.0,2.0,2.0,2.0
11,long,with distraction,none,1.0,1.1567136711544461,1,0.36,0.36,4.0,4.0,1.0,1.0,1.0,1.0
11,long,with distraction,static,1.0,1.056885004043579,0,0.37,0.37,5.0,4.0,2.0,2.0,2.0,2.0
11,long,with distraction,filtered,0.9,1.0916796922683716,0,0.27,0.27,5.0,6.0,3.0,5.0,5.0,2.0
11,long,no distraction,none,1.0,0.738715124130249,0,0.33,0.33,4.0,4.0,1.0,1.0,1.0,1.0
11,long,no distraction,static,1.0,0.8214744329452515,0,0.35,0.35,5.0,5.0,1.0,2.0,2.0,2.0
11,long,no distraction,filtered,1.0,0.8524750709533692,0,0.16,0.16,5.0,5.0,2.0,2.0,2.0,2.0
12,short,with distraction,none,1.0,0.9116883277893066,0,0.36,0.36,4.0,4.0,1.0,1.0,1.0,1.0
